Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinSocket_1x21_P2.54mm_Vertical,2,Conn_01x21_Socket,
J5,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
"J6, J7",PinSocket_1x03_P2.54mm_Vertical,2,Conn_01x03_Socket,
J8,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J9,CON_5034801800_MOL,1,5034801800,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,0 Poka Yoke,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,0 POKA-YOKE,
SW1,SW_SPST_PTS645Sx43SMTR92,1,Up,
SW2,SW_SPST_PTS645Sx43SMTR92,1,Down,
SW3,SW_SPST_PTS645Sx43SMTR92,1,Mode,
